CodeRNCP;EtatFiche;Rome;libelle;;
RNCP34001;;A1101;Conduite d''engins agricoles et forestiers;;
RNCP34001;;G1101;Accueil touristique;;
RNCP34001;;N2201;Personnel d''escale aéroportuaire;;
RNCP34015;;F1107;Mesures topographiques;;
RNCP34016;;F1103;Contrôle et diagnostic technique du bâtiment;;
RNCP34016;;I1203;Maintenance des bâtiments et des locaux;;
RNCP34016;;C1501;Gérance immobilière;;
RNCP34016;;F1106;Ingénierie et études du BTP;;
RNCP34016;;C1502;Gestion locative immobilière;;
RNCP34018;;J1408;Ostéopathie et chiropraxie;;
RNCP34020;;D1212;Vente en décoration et équipement du foyer;;
RNCP34021;;M1604;Assistanat de direction;;
RNCP34021;;M1200;Comptabilité et gestion;;
RNCP34021;;M1600;Secrétariat et assistance;;
RNCP34021;;M1605;Assistanat technique et administratif;;
RNCP34021;;M1203;Comptabilité;;
RNCP34022;;M1810;Production et exploitation de systèmes d''information;;
RNCP34022;;M1801;Administration de systèmes d''information;;
RNCP34022;;M1806;Conseil et maîtrise d''ouvrage en systèmes d''information;;
RNCP34019;;M1705;Marketing;;
RNCP34019;;M1707;Stratégie commerciale;;
RNCP34023;;A1408;Élevage d''animaux sauvages ou de compagnie;;
RNCP34025;;C1110;Souscription d''assurances;;
RNCP34025;;C1204;Conception et expertise produits bancaires et financiers;;
RNCP34025;;C1302;Gestion back et middle-office marchés financiers;;
RNCP34025;;C1107;Indemnisations en assurances;;
RNCP34025;;C1109;Rédaction et gestion en assurances;;
RNCP381;;H1303;Intervention technique en Hygiène Sécurité Environnement -HSE- industriel;;
RNCP1581;;I1401;Maintenance informatique et bureautique;;
RNCP1407;;C1504;Transaction immobilière;;
RNCP1407;;C1501;Gérance immobilière;;
RNCP1433;;M1302;Direction de petite ou moyenne entreprise;;
RNCP4667;;K2102;Coordination pédagogique;;
RNCP4667;;M1502;Développement des ressources humaines;;
RNCP4667;;K2101;Conseil en formation;;
RNCP4667;;K2111;Formation professionnelle;;
RNCP4667;;K2112;Orientation scolaire et professionnelle;;
RNCP1317;;F1108;Métré de la construction;;
RNCP1427;;K2111;Formation professionnelle;;
RNCP1304;;M1707;Stratégie commerciale;;
RNCP1304;;M1705;Marketing;;
RNCP2230;;M1707;Stratégie commerciale;;
RNCP339;;D1406;Management en force de vente;;
RNCP339;;D1407;Relation technico-commerciale;;
RNCP4457;;D1402;Relation commerciale grands comptes et entreprises;;
RNCP4485;;K2102;Coordination pédagogique;;
RNCP4485;;K2101;Conseil en formation;;
RNCP4485;;K2111;Formation professionnelle;;
RNCP4486;;N1303;Intervention technique d''exploitation logistique;;
RNCP4486;;N4201;Direction d''exploitation des transports routiers de marchandises;;
RNCP4486;;N1201;Affrètement transport;;
RNCP4486;;N1202;Gestion des opérations de circulation internationale des marchandises;;
RNCP1530;;H1502;Management et ingénierie qualité industrielle;;
RNCP1357;;D1404;Relation commerciale en vente de véhicules;;
RNCP1350;;M1707;Stratégie commerciale;;
RNCP286;;G1203;Animation de loisirs auprès d''enfants ou d''adolescents;;
RNCP286;;G1202;Animation d''activités culturelles ou ludiques;;
RNCP286;;K1206;Intervention socioculturelle;;
RNCP340;;M1805;Études et développement informatique;;
RNCP340;;M1802;Expertise et support en systèmes d''information;;
RNCP340;;M1803;Direction des systèmes d''information;;
RNCP1315;;H1404;Intervention technique en méthodes et industrialisation;;
RNCP1499;;G1804;Sommellerie;;
RNCP260;;N1302;Direction de site logistique;;
RNCP1532;;G1601;Management du personnel de cuisine;;
RNCP5248;;M1203;Comptabilité;;
RNCP5248;;M1205;Direction administrative et financière;;
RNCP5248;;M1204;Contrôle de gestion;;
RNCP5248;;M1302;Direction de petite ou moyenne entreprise;;
RNCP5248;;D1406;Management en force de vente;;
RNCP2211;;N1103;Magasinage et préparation de commandes;;
RNCP1700;;C1102;Conseil clientèle en assurances;;
RNCP2210;;D1402;Relation commerciale grands comptes et entreprises;;
RNCP1383;;D1402;Relation commerciale grands comptes et entreprises;;
RNCP1504;;I1305;Installation et maintenance électronique;;
RNCP2498;;L1304;Réalisation cinématographique et audiovisuelle;;
RNCP2498;;L1508;Prise de son et sonorisation;;
RNCP2498;;L1505;Image cinématographique et télévisuelle;;
RNCP2498;;L1507;Montage audiovisuel et post-production;;
RNCP2498;;L1509;Régie générale;;
RNCP2411;;A1301;Conseil et assistance technique en agriculture;;
RNCP1426;;B1301;Décoration d''espaces de vente et d''exposition;;
RNCP275;;G1402;Management d''hôtel-restaurant;;
RNCP275;;G1403;Gestion de structure de loisirs ou d''hébergement touristique;;
RNCP275;;G1404;Management d''établissement de restauration collective;;
RNCP4237;;N1303;Intervention technique d''exploitation logistique;;
RNCP4539;;M1402;Conseil en organisation et management d''entreprise;;
RNCP4539;;I1401;Maintenance informatique et bureautique;;
RNCP4539;;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels;;
RNCP4539;;H1502;Management et ingénierie qualité industrielle;;
RNCP1411;;D1301;Management de magasin de détail;;
RNCP1411;;D1406;Management en force de vente;;
RNCP4035;;D1301;Management de magasin de détail;;
RNCP4035;;D1406;Management en force de vente;;
RNCP4035;;D1211;Vente en articles de sport et loisirs;;
RNCP4035;;D1503;Management/gestion de rayon produits non alimentaires;;
RNCP4514;;N1303;Intervention technique d''exploitation logistique;;
RNCP4514;;H1402;Management et ingénierie méthodes et industrialisation;;
RNCP2017;;H1204;Design industriel;;
RNCP1696;;D1407;Relation technico-commerciale;;
RNCP2433;;L1503;Décor et accessoires spectacle;;
RNCP4540;;A1416;Polyculture, élevage;;
